Rule_ID,Left_side,Right_side
1,Emissions|CO2,
1,,Emissions|CO2|Fossil Fuels and Industry
1,,Emissions|CO2|Land Use
2,Emissions|CO2|Fossil Fuels and Industry,
2,,Emissions|CO2|Fossil Fuels and Industry|Energy Demand
2,,Emissions|CO2|Fossil Fuels and Industry|Energy Supply
3,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,
3,,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry
3,,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial
3,,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation
4,Final Energy,
4,,Final Energy|Electricity
4,,Final Energy|Gases
4,,Final Energy|Geothermal
4,,Final Energy|Heat
4,,Final Energy|Hydrogen
4,,Final Energy|Liquids
4,,Final Energy|Solar
4,,Final Energy|Solids
5,Final Energy,
5,,Final Energy|Industry
5,,Final Energy|Residential and Commercial
5,,Final Energy|Transportation
6,Primary Energy,
6,,Primary Energy|Coal
6,,Primary Energy|Gas
6,,Primary Energy|Oil
6,,Primary Energy|Nuclear
6,,Primary Energy|Hydro
6,,Primary Energy|Biomass
6,,Primary Energy|Solar
6,,Primary Energy|Wind
6,,Primary Energy|Geothermal
6,,Primary Energy|Ocean
7,Secondary Energy|Electricity,
7,,Secondary Energy|Electricity|Coal
7,,Secondary Energy|Electricity|Gas
7,,Secondary Energy|Electricity|Nuclear
7,,Secondary Energy|Electricity|Hydro
7,,Secondary Energy|Electricity|Biomass
7,,Secondary Energy|Electricity|Solar
7,,Secondary Energy|Electricity|Wind
7,,Secondary Energy|Electricity|Geothermal
7,,Secondary Energy|Electricity|Ocean
8,Population,
9,Price|Carbon,
10,Emissions|CO2|Carbon Capture and Storage,
