MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CO2,Mt CO2/yr,10540.73749,13160.18007,,11899.37725,,9545.811179,,7355.070859,,6119.499645,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9126.178808,11910.0912,,10748.32524,,8612.474596,,6776.586762,,5881.432555,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CO2|Land Use,Mt CO2/yr,1414.558679,1250.08887,,1151.052014,,933.3365836,,578.484097,,238.06709,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Final Energy,EJ/yr,88.6174471,110.8523132,,122.3483578,,142.1106217,,163.8468536,,173.4236874,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Final Energy|Industry,EJ/yr,38.98875857,50.8786599,,54.81627324,,62.10742358,,77.30921756,,90.35561031,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Final Energy|Transportation,EJ/yr,12.49857051,17.67310178,,24.09536482,,29.9608641,,33.66187588,,32.86975276,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Population,million,3491.875355,3693.739942,,4070.700815,,4347.513158,,4521.687544,,4603.349371,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Primary Energy,EJ/yr,133.5556685,168.7456389,,163.4344048,,179.8593269,,214.1968705,,227.2662933,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CO2,Mt CO2/yr,12085.84804,12744.32988,,11646.37412,,8272.303182,,4457.909634,,1625.178006,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12000.81447,12669.18311,,11577.18076,,8216.197383,,4423.135134,,1610.867044,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CO2|Land Use,Mt CO2/yr,85.033573,75.1467753,,69.19335827,,56.10579873,,34.77449924,,14.31096185,,,,,,,,,,
