MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CH4,Mt CH4/yr,135.65523,144.6346155,,106.9366351,,93.77953449,,87.85239993,,83.1664985,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CO2,Mt CO2/yr,10540.73749,13160.18007,,11899.37725,,9545.811179,,7355.070859,,6119.499645,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9126.178808,11910.0912,,10748.32524,,8612.474596,,6776.586762,,5881.432555,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CO2|Land Use,Mt CO2/yr,1414.558679,1250.08887,,1151.052014,,933.3365836,,578.484097,,238.06709,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|F-Gases,Mt CO2-equiv/yr,151.2224327,197.7824633,,251.5571287,,302.2265079,,250.5319725,,206.7528741,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|N2O,kt N2O/yr,3242.351253,3798.466214,,3489.027976,,3070.290354,,2641.426,,2179.02484,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Energy Service|Transportation|Freight,bn tkm/yr,4188.516932,5079.182399,,7114.886657,,9527.120195,,12467.04591,,16089.21932,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Energy Service|Transportation|Passenger,bn pkm/yr,4944.183295,6096.579611,,8786.808702,,12147.97232,,16832.03586,,23553.96514,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Final Energy,EJ/yr,88.6174471,110.8523132,,122.3483578,,142.1106217,,163.8468536,,173.4236874,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Final Energy|Industry,EJ/yr,38.98875857,50.8786599,,54.81627324,,62.10742358,,77.30921756,,90.35561031,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Final Energy|Residential and Commercial|Electricity,EJ/yr,5.665047542,6.849005356,,10.25380215,,13.56751799,,17.33979596,,16.94009608,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Final Energy|Transportation,EJ/yr,12.49857051,17.67310178,,24.09536482,,29.9608641,,33.66187588,,32.86975276,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,GDP|MER,billion US$2005/yr,5467.644,7604.485225,,13118.36973,,20758.88824,,30971.821,,43418.34685,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Population,million,3491.875355,3693.739942,,4070.700815,,4347.513158,,4521.687544,,4603.349371,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Primary Energy,EJ/yr,133.5556685,168.7456389,,163.4344048,,179.8593269,,214.1968705,,227.2662933,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CH4,Mt CH4/yr,62.74376975,64.33069335,,37.46585005,,25.5844978,,21.19517888,,18.54047671,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CO2,Mt CO2/yr,12085.84804,12744.32988,,11646.37412,,8272.303182,,4457.909634,,1625.178006,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12000.81447,12669.18311,,11577.18076,,8216.197383,,4423.135134,,1610.867044,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CO2|Land Use,Mt CO2/yr,85.033573,75.1467753,,69.19335827,,56.10579873,,34.77449924,,14.31096185,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|F-Gases,Mt CO2-equiv/yr,254.2509535,397.0617696,,409.5058535,,347.385899,,288.932984,,232.5757112,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|N2O,kt N2O/yr,2463.330133,2496.390345,,2268.702969,,1979.185527,,1506.729544,,1277.662801,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Energy Service|Transportation|Freight,bn tkm/yr,7819.155578,8193.247858,,8995.563821,,9676.687774,,10250.88362,,10764.4616,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Energy Service|Transportation|Passenger,bn pkm/yr,15391.57606,15957.64534,,17177.64711,,18226.07119,,19184.26467,,20097.37009,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Final Energy,EJ/yr,142.2490172,147.0223744,,139.444172,,137.166991,,123.7662977,,106.0258241,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Final Energy|Industry,EJ/yr,45.42835008,46.42635911,,45.9203434,,45.95484338,,47.77134604,,49.87642995,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Final Energy|Residential and Commercial|Electricity,EJ/yr,19.57141834,20.91056139,,21.06394838,,22.76685538,,26.66065822,,26.69417207,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Final Energy|Transportation,EJ/yr,46.96600617,48.81376972,,43.78440628,,38.74512033,,30.561842,,23.29234986,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,GDP|MER,billion US$2005/yr,33036.171,34074.15242,,41417.45596,,49990.83191,,58568.74867,,67244.27258,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Population,million,966.004837,997.779838,,1049.300245,,1084.902159,,1107.542785,,1119.499257,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Primary Energy,EJ/yr,193.1202754,202.2855095,,185.6327718,,175.7956146,,169.6771967,,154.1798387,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CH4,Mt CH4/yr,348.9808039,367.0240786,,241.9368987,,205.5693695,,190.5814737,,178.875376,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2,Mt CO2/yr,34492.04991,38321.77599,,35588.65749,,28531.67507,,20287.46001,,13367.27051,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2563.111102,,6431.453344,,10005.47245,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33510.80591,,31158.831,,24939.72694,,18061.16255,,12451.06873,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,19249.16385,,17729.33299,,14305.00465,,10695.83438,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7917.084691,,6027.528155,,4963.003331,,5718.252963,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2921.439296,,3293.357097,,2261.110749,,352.4370451,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7681.1198,,7676.994351,,6349.12951,,3892.794222,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14578.10855,,11774.30189,,7075.028686,,3620.792632,,1619.869087,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11846.65173,,9437.487256,,4860.099232,,3051.70834,,4477.152791,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,776.8052235,,802.5284892,,664.6885961,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49877.52546,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|N2O,kt N2O/yr,9589.551477,10234.40002,,9657.620681,,8738.192526,,7469.807884,,6336.514782,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Energy Service|Transportation|Freight,bn tkm/yr,17085.87006,19139.76684,,23872.36985,,29376.05841,,36083.18158,,43753.91513,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Energy Service|Transportation|Passenger,bn pkm/yr,27600.27481,30731.31554,,38206.46305,,47380.29892,,59501.31199,,74278.36138,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy,EJ/yr,326.7180372,365.997873,,381.4252662,,413.1838673,,433.7819305,,434.6298707,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Electricity,EJ/yr,54.17821039,61.27205358,,72.35746748,,85.97271022,,107.787767,,127.0228547,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Gases,EJ/yr,50.94413392,53.83863682,,68.85205235,,91.1502931,,110.6120955,,98.86090577,,,,,,,,,,
