MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE 2.0,SSP1-19,World,Emissions|CO2,Mt CO2/yr,,,,,,34373.9345,,,,,35782.6485,,,,,,,,,,37233.8898,,,,,,,,,,19057.4933,,,,,,,,,,8229.32,,,,,,,,,,1794.6177,,,,,,,,,,-2181.1692,,,,,,,,,,-3757.0794,,,,,,,,,,-4338.2188,,,,,,,,,,-4390.4928,,,,,,,,,,-4474.8741
AIM/CGE 2.0,SSP1-19,World,Final Energy,EJ/yr,,,,,,334.1608,,,,,342.2994,,,,,,,,,,365.9557,,,,,,,,,,324.5454,,,,,,,,,,337.4327,,,,,,,,,,348.522,,,,,,,,,,344.6799,,,,,,,,,,341.7877,,,,,,,,,,333.5808,,,,,,,,,,324.1516,,,,,,,,,,311.6341
AIM/CGE 2.0,SSP1-19,World,Population,million,,,,,,6490.9879,,,,,6879.5896,,,,,,,,,,7529.2273,,,,,,,,,,8010.6224,,,,,,,,,,8332.3655,,,,,,,,,,8469.1883,,,,,,,,,,8426.4663,,,,,,,,,,8229.2513,,,,,,,,,,7894.6378,,,,,,,,,,7435.4936,,,,,,,,,,6881.5846
AIM/CGE 2.0,SSP1-19,World,Price|Carbon,US$2010/t CO2,,,,,,0,,,,,0.8624,,,,,,,,,,15.9269,,,,,,,,,,204.47141,,,,,,,,,,382.82299,,,,,,,,,,620.8466,,,,,,,,,,1217.78074,,,,,,,,,,1651.06909,,,,,,,,,,2079.54703,,,,,,,,,,2128.56897,,,,,,,,,,2398.74976
AIM/CGE 2.0,SSP1-19,World,Primary Energy,EJ/yr,,,,,,448.2861,,,,,470.1031,,,,,,,,,,512.6219,,,,,,,,,,420.5853,,,,,,,,,,423.937,,,,,,,,,,442.1869,,,,,,,,,,429.1488,,,,,,,,,,424.6967,,,,,,,,,,413.0921,,,,,,,,,,404.5736,,,,,,,,,,390.2476
AIM/CGE 2.0,SSP1-19,World,Primary Energy|Biomass,EJ/yr,,,,,,46.1461,,,,,44.9428,,,,,,,,,,42.4671,,,,,,,,,,44.7364,,,,,,,,,,60.5955,,,,,,,,,,67.074,,,,,,,,,,79.3227,,,,,,,,,,85.4406,,,,,,,,,,86.0107,,,,,,,,,,86.6641,,,,,,,,,,86.7606
AIM/CGE 2.0,SSP1-19,World,Primary Energy|Coal,EJ/yr,,,,,,118.2456,,,,,129.0327,,,,,,,,,,138.4106,,,,,,,,,,49.7776,,,,,,,,,,29.7148,,,,,,,,,,30.2871,,,,,,,,,,14.7742,,,,,,,,,,9.9511,,,,,,,,,,6.9526,,,,,,,,,,6.3077,,,,,,,,,,4.9785
AIM/CGE 2.0,SSP1-19,World,Primary Energy|Fossil,EJ/yr,,,,,,381.2207,,,,,400.6963,,,,,,,,,,435.6573,,,,,,,,,,279.2546,,,,,,,,,,198.0964,,,,,,,,,,162.1063,,,,,,,,,,98.8318,,,,,,,,,,74.327,,,,,,,,,,57.8612,,,,,,,,,,54.78,,,,,,,,,,46.9562
AIM/CGE 2.0,SSP1-19,World,Primary Energy|Gas,EJ/yr,,,,,,98.7236,,,,,102.904,,,,,,,,,,115.2863,,,,,,,,,,82.4883,,,,,,,,,,56.188,,,,,,,,,,48.1262,,,,,,,,,,33.8702,,,,,,,,,,28.0887,,,,,,,,,,23.5464,,,,,,,,,,23.8143,,,,,,,,,,21.605
AIM/CGE 2.0,SSP1-19,World,Primary Energy|Geothermal,EJ/yr,,,,,,0.2069,,,,,0.2159,,,,,,,,,,0.2556,,,,,,,,,,0.3084,,,,,,,,,,0.3742,,,,,,,,,,0.4398,,,,,,,,,,0.5205,,,,,,,,,,0.6022,,,,,,,,,,0.6716,,,,,,,,,,0.7271,,,,,,,,,,0.7703
